name,cas,chemcode,species,td50_log_min,td50_min,td50_log_mean,td50_mean,td50_log_median,td50_median,td50_harmonic,td50_log_harmonic,smiles,carc_class_multi,carc_class
DIMETHYLTHIOUREA,61805-96-7,2mt,r,31.0,1e+31,31.0,1e+31,31.0,1e+31,1e+31,71.38013788281542,CNC(=S)NC,0.0,0.0
2-NITROBUTANE,600-24-8,2ni,r,0.456366033129043,2.86,0.456366033129043,2.86,0.456366033129043,2.86,2.86,1.3506671834767394,CCC(C)[N+](=O)[O-],4.0,1.0
2-NITROPROPANE,79-46-9,2np,r,0.890979596989689,7.78,24.427104856555037,7.777777777777775e+30,31.0,1e+31,63.22537263748823,11.40840734310729,CC(C)[N+](=O)[O-],1.0,0.0
"3,3'-DIMETHOXYBENZIDINE.2HCl",20325-40-0,3db,m,-0.2479515521805615,0.565,2.3824104652950524,5.063291139240506e+29,0.8920946026904804,7.8,3.5293205840262862,1.6525377470339722,COc1cc(-c2ccc(N)c(OC)c2)ccc1N.[Cl-].[Cl-].[H+].[H+],4.0,1.0
TRIMETHADIONE,127-48-0,3md,r,31.0,1e+31,31.0,1e+31,31.0,1e+31,1e+31,71.38013788281542,CN1C(=O)OC(C)(C)C1=O,0.0,0.0
3-METHYLBUTANAL METHYLFORMYLHYDRAZONE,57590-21-3,3mm,m,0.29885307640970665,1.99,1.0686903962582852,25.063157894736843,0.9395192526186185,8.7,6.495685438241425,2.144036747088416,CC(C)CC=NN(C)C=O,4.0,1.0
3-NITRO-3-HEXENE,4812-22-0,3nh,m,-0.46092390120722343,0.346,-0.04823628541254036,2.1648,-0.16304326294044955,0.687,0.5869815569522646,0.4671808058228665,CCC=C(CC)[N+](=O)[O-],4.0,1.0
3-NITROPENTANE,551-88-2,3ni,r,0.37474834601010387,2.37,0.4295240926784448,2.71,0.4295240926784448,2.71,2.6673431734317345,1.300351777512772,CCC(CC)[N+](=O)[O-],4.0,1.0
3-PHENYLPROPYL ISOTHIOCYNATE,2627-27-2,3pi,r,0.6374897295125107,4.34,0.6374897295125107,4.34,0.6374897295125107,4.34,4.34,1.6752256529721035,S=C=NCCCc1ccccc1,4.0,1.0
4-DIMETHYLAMINOANTIPYRINE,58-15-1,4aa,m,2.1931245983544616,156.0,14.353384864671739,4e+30,3.8022264320498422,6345.0,1104.8385118669285,11.251131013781709,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,1.0,0.0
4-AMINODIPHENYL,92-67-1,4ab,m,-0.0030507515046188267,0.993,4.098105125353805,1.111111111111111e+30,0.7737864449811935,5.94,3.9651962053620338,1.7631607253569765,Nc1ccc(-c2ccccc2)cc1,4.0,1.0
"1,4-DICHLOROBENZENE",106-46-7,4cb,m,2.3502480183341627,224.0,9.740661839359397,2.391304347826086e+30,3.3201413148483403,2095.0,929.7853039463756,8.777480667045538,Clc1ccc(Cl)cc1,2.0,0.0
3'-METHYL-4-DIMETHYLAMINOAZOBENZENE,55-80-1,4da,r,0.5158738437116791,3.28,6.6605154639004285,2e+27,1.6819610397498406,48.1,10.639946176970497,3.0654071437095194,Cc1cccc(N=Nc2ccc(N(C)C)cc2)c1,3.0,1.0
"4,4'-DIAMINOBENZANILIDE",785-30-8,4db,m,2.5563025007672873,360.0,23.889075625191822,7.5e+30,31.0,1e+31,1440.0,18.882163265126433,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,0.0,0.0
"2,4-DINITROTOLUENE (CONTAINING 1.0-1.5% 2,6-DINITROTOLUENE)",25321-14-6,4dn,m,0.631443769013172,4.28,12.013430247855311,3.5135135135135124e+30,2.089905111439398,123.0,29.011188634935184,5.039986760901806,Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],3.0,1.0
4-METHYLCATECHOL,452-86-8,4mc,r,2.403120521175818,253.0,12.36305241596802,3.333333333333333e+30,3.379645016512152,2665.0,1090.554883275509,9.834986481813655,Cc1ccc(O)c(O)c1,1.0,0.0
4-METHOXYPHENOL,150-76-5,4mp,r,2.576341350205793,377.0,17.147424219022,4.999999999999999e+30,17.604757507271316,5e+30,2258.002075277972,13.430611257901331,COc1ccc(O)cc1,1.0,0.0
"2,4-XYLIDINE.HCl",21436-96-4,4xl,m,1.0863598306747482,12.2,8.175134242260889,2.222222222222222e+30,1.8155777483242672,65.4,28.400581551330433,4.296507648012926,Cc1ccc(N)c(C)c1.[Cl-].[H+],3.0,1.0
"4,4'-DIAMINOAZOBENZENE",538-41-0,4zb,m,2.3283796034387376,213.0,16.67714771128759,5e+30,16.690105620855803,5e+30,451.39072847682115,10.083172528536887,Nc1ccc(N=Nc2ccc(N)cc2)cc1,1.0,0.0
"5,7-DIBROMOQUINOLINE",34522-69-5,5dq,r,1.841359470454855,69.4,11.906243605441544,3.333333333333333e+30,2.877371345869774,754.0,190.65193101773136,7.5004507350423415,Brc1cc(Br)c2cccnc2c1,2.0,1.0
"2,4,5-TRIMETHYLANILINE.HCl",21436-97-5,5mh,m,1.5490032620257879,35.4,3.476865703422395,5.8823529411764705e+29,1.7226339225338123,52.8,55.91192415852029,4.2567857158173545,Cc1cc(C)c([NH3+])cc1C.[Cl-],3.0,1.0
"2,5-XYLIDINE.HCl",51786-53-9,5xl,m,1.8273692730538253,67.2,2.724219304949928,792.85,2.741939077729199,552.0,323.1913725135194,6.118992621592612,Cc1ccc(C)c(N)c1.[Cl-].[H+],2.0,1.0
6-AZACYTIDINE,3131-60-0,6az,r,31.0,1e+31,31.0,1e+31,31.0,1e+31,1e+31,71.38013788281542,Nc1cnn(C2OC(CO)C(O)C2O)c(=O)n1,0.0,0.0
"N-NITROSOBIS(2,2,2-TRIFLUOROETHYL)AMINE",625-89-8,6fd,r,0.6972293427597176,4.98,20.899076447586573,6.666666666666666e+30,31.0,1e+31,14.940000000000001,5.109238995679613,O=NN(CC(F)(F)F)CC(F)(F)F,3.0,1.0
"2,4,6-TRIMETHYLANILINE.HCl",6334-11-8,6ma,m,0.33243845991560533,2.15,1.2010507399520234,24.345,1.2997122646884636,19.950000000000003,10.019576277684543,2.539356927657521,Cc1cc(C)c([NH3+])c(C)c1.[Cl-],4.0,1.0
6-METHYLQUINOLINE,91-62-3,6mq,r,2.089905111439398,123.0,2.2258164737284956,176.5,2.2258164737284956,176.5,160.28328611898016,5.112492348553225,Cc1ccc2ncccc2c1,3.0,1.0
"2,6-DINITROTOLUENE",606-20-2,6nt,r,-0.707743928643524,0.196,6.377354829974322,2e+30,-0.05560371040924414,0.8835,0.7753791487527254,0.6184819489510195,Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],4.0,1.0
7-METHYLGUANINE,578-76-7,7mg,r,0.9159272116971158,8.24,0.9159272116971158,8.24,0.9159272116971158,8.24,8.24,2.2235418856535927,Cn1cnc2[nH]c(N)nc(=O)c21,4.0,1.0
8-METHYLQUINOLINE,611-32-5,8mq,r,31.0,1e+31,31.0,1e+31,31.0,1e+31,1e+31,71.38013788281542,Cc1cccc2cccnc12,0.0,0.0
"(+-)-7-(3,5,6-TRIMETHYL-1,4-BENZOQUINON-2-YL)-7-PHENYLHEPTANOIC ACID",112665-43-7,aa2,r,31.0,1e+31,31.0,1e+31,31.0,1e+31,1e+31,71.38013788281542,CC1=C(C)C(=O)C(C(CCCCCC(=O)O)c2ccccc2)=C(C)C1=O,0.0,0.0
2-ACETYLAMINOFLUORENE,53-96-3,aaf,r,-0.1938200260161128,0.64,4.391863844703957,9.190270270270269e+29,1.4983105537896004,31.5,9.178353414371086,2.7793413182271847,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,3.0,1.0
ACETAMIDE,60-35-5,aam,m,2.0170333392987803,104.0,8.9175540472557,2e+30,3.6180480967120925,4150.0,796.1541261822938,9.026250816021172,CC(N)=O,2.0,0.0
4-ACETYLAMINOPHENYLACETIC ACID,18699-02-0,aap,m,4.442479769064448,27700.0,25.132382514480067,7.777777777777776e+30,31.0,1e+31,166894.15274463006,31.32877228142277,CC(=O)Nc1ccc(CC(=O)O)cc1,0.0,0.0
"2,7-ACETYLAMINOFLUORENE",304-28-9,aau,p,1.4082399653118496,25.6,14.97384458519726,5e+27,15.243569187738593,5e+27,94.51834034876728,7.8380434580838,CC(=O)Nc1ccc2c(c1)Cc1cc(NC(C)=O)ccc1-2,2.0,0.0
AMOBARBITAL,57-43-2,abb,r,31.0,1e+31,31.0,1e+31,31.0,1e+31,1e+31,71.38013788281542,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,0.0,0.0
2-AMINODIPHENYLENE OXIDE,3693-22-9,abo,m,0.75815462196739,5.73,13.008895716498353,4e+30,1.3483048630481607,22.3,14.938600579127618,3.814309488201649,Nc1ccc2oc3ccccc3c2c1,3.0,1.0
4-ACETYLAMINOBIPHENYL,4075-79-0,abp,r,0.07188200730612536,1.18,15.535941003653063,5e+30,15.535941003653063,5e+30,2.36,1.5418162783965565,CC(=O)Nc1ccc(-c2ccccc2)cc1,4.0,1.0
"ALKYLBENZENESULFONATE, LINEAR",42615-29-2,abs,r,31.0,1e+31,31.0,1e+31,31.0,1e+31,1e+31,71.38013788281542,CCCCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1.[Na+],0.0,0.0
N-ACETYLCYSTEINE,616-91-1,acc,r,31.0,1e+31,31.0,1e+31,31.0,1e+31,1e+31,71.38013788281542,CC(=O)NC(CS)C(=O)O,0.0,0.0
ACRYLAMIDE,79-06-1,acd,r,0.24303804868629444,1.75,2.8712764550042897,4.8780487804878045e+29,1.3944516808262162,24.8,15.611753064495199,3.121226391973237,C=CC(N)=O,3.0,1.0
ACETALDEHYDE,75-07-0,ace,r,1.9469432706978254,88.5,2.733676042636062,870.7631578947369,2.7589118923979736,574.0,341.8309211736021,6.135396502702415,CC=O,2.0,1.0
ARECOLINE.HCl,61-94-9,ach,m,1.526339277389844,33.6,8.67491801514406,2.3076923076923077e+30,2.0644579892269186,116.0,95.24873763778562,5.673735705131382,COC(=O)C1=CCCN(C)C1.[Cl-].[H+],3.0,1.0
ACROLEIN DIETHYLACETAL,3054-95-3,aci,r,2.089905111439398,123.0,13.017972627526028,3.75e+30,2.421591463975406,264.0,254.7415554768149,7.844366765917317,C=CC(OCC)OCC,2.0,0.0
ACROLEIN,107-02-8,acl,r,-0.3269790928711038,0.471,15.312475380486704,4.6153846153846137e+30,2.9207798376797944,923.0,10.456586065913942,4.40571918149655,C=CC=O,3.0,1.0
ACROLEIN OXIME,5314-33-0,aco,r,1.2148438480476977,16.4,10.018318935177708,2.857142857142857e+30,1.7586263280668528,57.800000000000004,51.82891606285882,5.076231568938798,C=CC=NO,3.0,1.0
ACRYLONITRILE,107-13-1,acr,r,0.11394335230683679,1.3,5.626107523910026,1.428571428571428e+30,1.5831617627157164,38.3,12.391837781661634,3.1528571397199623,C=CC#N,3.0,1.0
ACTINOMYCIN D,50-76-0,act,r,-3.300162274132754,0.000501,5.29958677094254,2.3076923076923077e+30,-1.6968039425795112,0.0201,0.0018918793600778282,0.0018904952856693676,Cc1c2oc3c(C)ccc(C(=O)NC4C(=O)NC(C(C)C)C(=O)N5CCCC5C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC4C)c3nc-2c(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c(N)c1=O,4.0,1.0
ACETALDOXIME,107-29-9,acx,r,2.6483600109809315,445.0,16.824180005490465,5e+30,16.824180005490465,5e+30,889.9999999999999,11.240037183894565,CC=NO,1.0,0.0
ACRYLIC ACID,79-10-7,acy,r,1.507855871695831,32.2,22.93092229192254,7.142857142857142e+30,31.0,1e+31,224.69068235570066,15.08967642086364,C=CC(=O)O,1.0,0.0
4-AMINODIPHENYL.HCl,2113-61-3,adh,r,-0.047207556955907906,0.897,7.734253404291982,2.5e+30,-0.007889412938081819,0.982,1.2692386725301428,0.8890129920453421,[Cl-].[NH3+]c1ccc(-c2ccccc2)cc1,4.0,1.0
ADRIAMYCIN,23214-92-8,adm,p,-2.8927900303521317,0.00128,2.808635305055748,1.6666666666666665e+27,-2.210428444178093,0.00627,0.0053206546774271215,0.0053088268552508025,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1,4.0,1.0
ADIPAMIDE,628-94-4,adp,m,3.807535028068853,6420.0,21.956583523799505,6.666666666666666e+30,31.0,1e+31,22000.400801603206,21.386666015033036,NC(=O)CCCCC(N)=O,0.0,0.0
AZT,30516-87-1,adt,m,2.1172712956557644,131.0,11.19850767656344,2.999999999999999e+30,2.911160877897361,822.0,486.5499911021838,8.383075989010408,Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O,2.0,0.0
alpha-ECDYSONE,3604-87-3,ady,m,-1.578396073130169,0.0264,5.067295250322964,2e+30,-1.2533658010624211,0.0558,0.044802919708029194,0.044013895844087915,CC(C(O)CCC(C)(C)O)C1CCC2(O)C3=CC(=O)C4CC(O)C(O)CC4(C)C3CCC12C,4.0,1.0
"O,O-DIMETHYL S-2(ACETYLAMINO)ETHYL DITHIOPHOSPHATE, TECHNICAL GRADE",13265-60-6,aed,r,31.0,1e+31,31.0,1e+31,31.0,1e+31,1e+31,71.38013788281542,COP(=S)(OC)SCCNC(C)=O,0.0,0.0
AF-2,3688-53-7,af2,h,1.0569048513364727,11.4,8.43943837064549,2.0512820512820507e+30,2.967547976218862,928.0,133.65827050918378,6.709165654093864,NC(=O)C(=Cc1ccc([N+](=O)[O-])o1)c1ccco1,2.0,1.0
AFLATOXIN B1,1162-65-8,afb,r,-3.0305840876460186,0.000932,3.2171585732964902,1.5094339622641506e+30,-1.570247719997592,0.0269,0.008626119681431507,0.008594736464984779,COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1C=COC1O2,4.0,1.0
"AFLATOXIN, CRUDE",1402-68-2,afc,r,-2.728158393463501,0.00187,3.2515701854937014,1.25e+30,0.03592628130715031,1.8915,0.009809159297078473,0.009773094365050649,COc1cc2c(c3oc(=O)c4c(c13)CCOC4=O)C1C=COC1O2,4.0,1.0
ACIFLUORFEN,50594-66-6,aff,m,1.9722028383790644,93.8,2.5575554691094924,550.4142857142857,2.517850918743699,329.5,256.2555307046972,5.761685381674538,O=C(O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],3.0,1.0
ACETONE[4-(5-NITRO-2-FURYL)-2-THIAZOLYL]HYDRAZONE,18523-69-8,afh,r,0.7817553746524689,6.05,15.955787014952673,5e+30,16.02069634257911,5e+30,15.61290322580645,4.244148311722344,CC(C)=NNc1nc(-c2ccc([N+](=O)[O-])o2)cs1,3.0,1.0
AFLATOXICOL,29611-03-8,afl,r,-2.607303046740334,0.00247,-2.04505357439518,0.017685,-2.04505357439518,0.017685,0.0045950240316652525,0.004584521616120479,COc1cc2c(c3oc(=O)c4c(c13)CCC4O)C1C=COC1O2,4.0,1.0
"2-AMINO-5-(5-NITRO-2-FURYL)-1,3,4-OXADIAZOLE",3775-55-1,afo,r,0.437750562820388,2.74,5.501653577611717,1.4285714285714286e+30,1.568201724066995,37.0,8.578016104822114,2.6981162859567602,Nc1nnc(-c2ccc([N+](=O)[O-])o2)o1,3.0,1.0
"2-AMINO-5-(5-NITRO-2-FURYL)-1,3,4-THIADIAZOLE",712-68-5,aft,r,-0.17914201056030005,0.662,5.118148241538468,1.4285714285714286e+30,1.3747483460101038,23.7,1.7839288010645489,1.1676238509632402,Nc1nnc(-c2ccc([N+](=O)[O-])o2)s1,4.0,1.0
ANHYDROGLUCOCHLORAL,15879-93-3,agc,m,0.60959440922522,4.07,18.504035629770478,5.833333333333332e+30,31.0,1e+31,20.631919189690333,5.304380119581417,OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O,3.0,1.0
beta-N-[gamma-L(+)-GLUTAMYL]-4-HYDROXYMETHYLPHENYLHYDRAZINE,2757-90-6,age,m,3.3096301674258988,2040.0,15.254460423312256,4.2857142857142854e+30,3.519827993775719,3310.0,4781.7169810885625,12.807914613574807,NC(CCC(=O)NNc1ccc(CO)cc1)C(=O)O,1.0,0.0
3-HYDROXY-4-AMINOBIPHENYL,4363-03-5,ahb,r,31.0,1e+31,31.0,1e+31,31.0,1e+31,1e+31,71.38013788281542,O=S(=O)([O-])O.[NH3+]c1ccc(-c2ccccc2)cc1O,0.0,0.0
N'-ACETYL-4-(HYDROXYMETHYL)PHENYLHYDRAZINE,65734-38-5,ahp,m,2.3180633349627615,208.0,11.94909027840471,3.333333333333333e+30,2.4875388973419836,308.0,392.1624885787426,8.054220996104196,CC(=O)NNc1ccc(CO)cc1,2.0,0.0
ALLYLHYDRAZINE.HCl,52207-83-7,ahz,m,1.4608978427565478,28.9,4.827586069100515,1e+30,2.0289090972160495,107.5,67.7615519714665,4.731138452385857,C=CCNN.[Cl-].[H+],3.0,1.0
ALLYL ALCOHOL,107-18-6,ala,r,1.6180480967120927,41.5,12.868144103349618,3.75e+30,2.2061798661840655,162.0,133.28453221184998,6.972683272610425,C=CCO,2.0,1.0
ALCLOFENAC,22131-79-9,alc,r,2.591064607026499,390.0,25.318212921405298,8e+30,31.0,1e+31,1950.0,22.363514313757538,C=CCOc1ccc(CC(=O)O)cc1Cl,0.0,0.0
ALDRIN,309-00-2,ald,r,-0.13018179202067184,0.741,17.37650216359506,5.499999999999998e+30,31.0,1e+31,5.1199845931521555,2.7485580802951093,ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,3.0,1.0
"1,2-DIALLYLHYDRAZINE.2HCl",26072-78-6,alh,m,1.5289167002776547,33.8,12.415644681306363,3.6363636363636365e+30,1.8937617620579434,78.3,78.51939001017571,6.136088681660648,C=CCNNCC=C.[Cl-].[Cl-].[H+].[H+],2.0,1.0
1-ALLYL-1-NITROSOUREA,760-56-5,all,r,-0.575118363368933,0.266,6.693764588215512,2.222222222222222e+30,-0.26680273489343054,0.541,0.6368955149361802,0.5178172739416141,C=CCN(N=O)C(N)=O,4.0,1.0
PRONETHALOL.HCl,51-02-5,aln,m,2.9689496809813427,931.0,14.26859288425465,4e+30,3.2600713879850747,1820.0,2089.60635359116,11.187331763932967,CC(C)NCC(O)c1ccc2ccccc2c1.[Cl-].[H+],1.0,0.0
ALLANTOIN,97-59-6,alt,r,31.0,1e+31,31.0,1e+31,31.0,1e+31,1e+31,71.38013788281542,NC(=O)NC1NC(=O)NC1=O,0.0,0.0
FD & C RED NO. 2,915-67-3,ama,r,2.800717078282385,632.0,18.547160425771466,5.454545454545453e+30,31.0,1e+31,4109.7320038551225,15.610105707955238,O=C1C(S(=O)(=O)[O-])=Cc2cc(S(=O)(=O)[O-])ccc2C1=NNc1ccc(S(=O)(=O)[O-])c2ccccc12.[Na+].[Na+].[Na+],1.0,0.0
AMMONIUM CITRATE,3012-65-5,amc,r,31.0,1e+31,31.0,1e+31,31.0,1e+31,1e+31,71.38013788281542,O=C([O-])CC(O)(CC(=O)[O-])C(=O)O.[NH4+].[NH4+],0.0,0.0
n-PENTYLHYDRAZINE.HCl,1119-68-2,amh,m,0.7686381012476144,5.87,1.637195271650144,78.05636363636364,1.6711728427150832,46.9,22.82460457977404,3.438579144659265,CCCCCN[NH3+].[Cl-],3.0,1.0
AMMONIUM CHLORIDE,12125-02-9,amn,m,31.0,1e+31,31.0,1e+31,31.0,1e+31,1e+31,71.38013788281542,[Cl-].[NH4+],0.0,0.0
"3-ACETYL-6-METHYL-2,4-PYRANDIONE",520-45-6,amp,m,2.305351369446624,202.0,28.608779280787218,9.166666666666664e+30,31.0,1e+31,2424.0,35.05545429918539,CC(=O)C1C(=O)C=C(C)OC1=O,0.0,0.0
IQ,76180-96-6,amq,m,-0.5421181032660077,0.287,0.8742264831614144,29.49279069767442,0.8518696007297664,7.11,1.7661733734174712,1.1107184723481918,Cn1c(N)nc2c3cccnc3ccc21.[Br-].[H+],4.0,1.0
3-AMINOTRIAZOLE,61-82-5,amt,r,0.5728716022004802,3.74,15.905069572556199,4.8780487804878036e+30,3.4409090820652177,2760.0,32.4301629092508,5.8006231900513505,Nc1ncn[nH]1,3.0,1.0
AMMONIUM HYDROXIDE,1336-21-6,amx,m,3.8651039746411278,7330.0,17.579384444470552,5e+30,17.713255630682287,5e+30,25079.595460446417,16.840567976362134,[NH4+].[OH-],1.0,0.0
2-AMINO-4-(5-NITRO-2-FURYL)THIAZOLE,38514-71-5,anf,m,0.7671558660821804,5.85,8.498878661221827,2.5e+30,1.0060176795747646,10.219999999999999,11.830215637791424,3.0610018098120277,Nc1nc(-c2ccc([N+](=O)[O-])o2)cs1,3.0,1.0
1-ACETYL-2-ISONICOTINOYLHYDRAZINE,1078-38-2,anh,m,2.503790683057181,319.0,10.195917996071762,2.5e+30,3.639940650614932,28021.0,658.2491771964632,8.885339964739437,CC(=O)NNC(=O)c1ccncc1,2.0,0.0
ANILINE,62-53-3,anl,r,2.7686381012476144,587.0,16.88431905062381,5e+30,16.88431905062381,5e+30,1174.0,11.707561763788487,Nc1ccccc1,1.0,0.0
"trans-5-AMINO-3[2-(5-NITRO-2-FURYL)VINYL]-1,2,4-OXADIAZOLE",28754-68-9,ano,m,1.4653828514484182,29.2,12.612110685740019,3.571428571428571e+30,2.8576422463889593,762.0,201.78243328860526,7.8717846405564735,Nc1nc(C=Cc2ccc([N+](=O)[O-])o2)no1,2.0,0.0
"9,10-ANTHRAQUINONE",84-65-1,anq,m,2.662757831681574,460.0,16.876277899103385,4.999999999999999e+30,16.963941705165354,5e+30,1099.6906091024832,11.62965937032083,O=C1c2ccccc2C(=O)c2ccccc21,1.0,0.0
NITROSOAMYLURETHAN,64005-62-5,anr,r,-0.4736607226101559,0.336,0.0855879952881949,1.4208571428571428,0.1643528557844371,1.46,0.9773656066652434,0.6876840973546667,CCCCCN(N=O)C(=O)OCC,4.0,1.0
2-AMINO-5-NITROTHIAZOLE,121-66-4,ant,r,1.4409090820652177,27.6,11.143154560500351,3.157894736842105e+30,2.1958996524092336,157.0,97.39997907868269,6.250770610506907,Nc1ncc([N+](=O)[O-])s1,2.0,1.0
1-AMYL-1-NITROSOUREA,10589-74-9,anu,r,-0.3205721033878811,0.478,4.4442610714152275,1.3636363636363636e+30,0.14434813029512789,1.395,1.2644102869937552,0.872776979436473,CCCCCN(N=O)C(N)=O,4.0,1.0
VOGLIBOSE,83480-29-9,ao1,r,0.9670797341444971,9.27,16.717956435566567,4.999999999999999e+30,17.1202746241413,5e+30,83.80684438792953,8.787110396558212,OCC(CO)NC1CC(O)(CO)C(O)C(O)C1O,2.0,0.0
6-AMINOCAPROIC ACID,60-32-2,apa,r,31.0,1e+31,31.0,1e+31,31.0,1e+31,1e+31,71.38013788281542,NCCCCCC(=O)O,0.0,0.0
"ASPIRIN, PHENACETIN, AND CAFFEINE",8003-03-0,apc,m,3.4785664955938436,3010.0,17.453885653612183,4.9999999999999987e+30,17.824180005490465,5e+30,11392.87298863474,15.83509676776682,CC(=O)Oc1ccccc1C(=O)O.CCOc1ccc(NC(C)=O)cc1.Cn1c(=O)c2c(ncn2C)n(C)c1=O,1.0,0.0
METHOTREXATE,59-05-2,apg,r,-0.4814860601221125,0.33,19.948850271754416,6.315789473684209e+30,31.0,1e+31,3.234121330648495,2.2998653571880987,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,4.0,1.0
1-ACETYL-2-PHENYLHYDRAZINE,114-83-0,aph,m,1.651278013998144,44.8,8.837496140966342,2.3529411764705882e+30,2.0681858617461617,117.0,118.18641762459309,5.89098575467628,CC(=O)NNc1ccccc1,3.0,1.0
A-alpha-C,26148-68-5,api,m,1.551449997972875,35.6,7.05488747917336,1.6666666666666665e+30,2.449362590794747,288.5,129.714723063585,5.9078061912837265,Nc1ccc2c(n1)[nH]c1ccccc12,3.0,1.0
ASPARTAME,22839-47-0,apm,r,5.071882007306125,118000.0,20.827545889099362,5.999999999999998e+30,31.0,1e+31,620054.4589218922,25.141410454423443,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O,0.0,0.0
ASPIRIN,50-78-2,apn,m,3.2227164711475833,1670.0,27.527839558893447,8.749999999999998e+30,31.0,1e+31,13360.0,34.36189936103527,CC(=O)Oc1ccccc1C(=O)O,0.0,0.0
"alpha-(2,5-DICHLOROPHENOXY)PROPIONIC ACID",6965-71-5,app,m,1.021189299069938,10.5,23.595876785631177,7.499999999999997e+30,31.0,1e+31,80.14211438474871,11.044196561259287,CC(Oc1cc(Cl)ccc1Cl)C(=O)O,1.0,0.0
